treatment,bacteria,soil,replicate,nodes,mass_mg
Y_Ma,Yes,Martian,23,2,14
Y_Ma,Yes,Martian,24,5,12
Y_Ma,Yes,Martian,25,5,6
Y_Ma,Yes,Martian,26,1,8
Y_Ma,Yes,Martian,27,6,13
Y_Ma,Yes,Martian,28,6,18
Y_Ma,Yes,Martian,29,3,13
Y_Ma,Yes,Martian,30,4,9
Y_Ma,Yes,Martian,31,1,21
Y_Ma,Yes,Martian,32,5,18
Y_Ma,Yes,Martian,33,7,11
Y_Ma,Yes,Martian,34,2,16
Y_Ma,Yes,Martian,35,4,19
Y_Ma,Yes,Martian,36,2,17
Y_Ma,Yes,Martian,37,4,10
Y_Ma,Yes,Martian,38,3,16
Y_Ma,Yes,Martian,39,0,11
Y_Ma,Yes,Martian,40,6,9
Y_Ma,Yes,Martian,41,3,14
Y_Ma,Yes,Martian,42,5,15
Y_Ma,Yes,Martian,43,0,9
Y_Ma,Yes,Martian,44,3,16
Y_Ma,Yes,Martian,45,2,10
Y_Ma,Yes,Martian,46,1,15
Y_Ma,Yes,Martian,47,2,7
Y_Ma,Yes,Martian,48,4,14
Y_Ma,Yes,Martian,49,4,20
Y_Ma,Yes,Martian,50,7,20
Y_Ma,Yes,Martian,51,3,11
Y_Ma,Yes,Martian,52,7,9
Y_Ma,Yes,Martian,53,4,7
Y_Ma,Yes,Martian,54,4,14
Y_Ma,Yes,Martian,55,3,11
Y_Ma,Yes,Martian,56,6,11
Y_Ma,Yes,Martian,57,3,13
Y_Ma,Yes,Martian,58,3,13
Y_Ma,Yes,Martian,59,0,11
Y_Ma,Yes,Martian,60,4,24
